6
1
-1	-1	-1	-1	10	-1	-1	-1	9	-1	-1	16	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	23	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1
-1	-1	4	-1	-1	13	-1	-1	-1	8	-1	7	-1	-1	25	-1	-1	16	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	17	-1	-1	-1	34
-1	-1	11	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	18	-1	21	-1	33	-1	4	-1	-1	-1	-1	1	2	-1	-1	-1
-1	-1	-1	-1	12	-1	6	-1	-1	-1	-1	23	-1	-1	26	5	-1	-1	-1	-1	-1	-1	-1	35	30	11	-1	-1	7	-1	-1	-1	-1	22	-1	9
-1	-1	23	-1	-1	-1	-1	18	-1	-1	2	-1	-1	24	12	-1	34	21	31	11	-1	-1	-1	26	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	-1	-1	-1	-1	-1	15	28	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	22	27	-1	29	-1	34	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1
-1	27	-1	10	6	-1	-1	11	-1	9	4	-1	19	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	3	-1	-1	33	25	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	16	31	-1	21	-1	-1	-1	-1	-1	-1	17	-1	-1	10	14	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1
-1	9	-1	-1	3	4	-1	-1	-1	30	-1	5	-1	-1	-1	-1	-1	-1	17	19	24	-1	15	20	-1	-1	8	-1	-1	-1	1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	6	26	-1	23	-1
-1	-1	21	28	22	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	30	-1	-1	-1	-1
-1	-1	-1	11	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	8	-1	-1	-1	15	-1	-1	1	-1	14	-1	-1	-1	-1	4
