10
1
-1	89	40	81	-1	71	-1	17	64	-1	74	-1	-1	93	56	-1	-1	-1	-1	-1	-1	-1	73	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	-1	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	50	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	-1	-1	19	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1
-1	1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	60	-1	-1	74	-1	-1	36	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	98	-1	-1	-1	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	13	-1	16	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	96	27	-1	57	86	42	-1	-1	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	68	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	25	-1	33	-1	81	-1	69	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	37	66	-1	-1	-1	-1	-1	28	-1	-1	-1	41	-1	58	-1	-1	-1	32	-1	-1
-1	-1	59	-1	19	-1	91	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	50	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	98	-1	-1	-1	-1	51	-1	-1	-1	-1	95	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	71	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	12	17	-1	7	-1	-1	86	-1	-1	-1	-1	-1	-1
-1	-1	23	-1	-1	-1	-1	-1	88	-1	-1	-1	-1	98	-1	68	19	46	-1	-1	-1	-1	96	43	-1	-1	-1	-1	28	-1	37	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	92	-1	26	-1	56	20	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1
-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	27	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	22	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	40	-1	68	45	-1	-1	-1	-1	81	-1	-1	-1	97	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	37	61	-1	-1	-1	-1	-1	-1	88	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	80	77	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	35	86	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	5	62	-1	-1	99	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	45	-1	19	12	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	73	-1	-1	-1	-1	55	-1	-1	-1	-1	38	-1	-1	-1	80	-1	3	-1	-1	-1	2	-1	-1	13	-1	-1	-1	-1	40	-1	-1	-1	49	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	93	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	8	78	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	83	-1	40	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	8	-1	-1	-1	97	33	-1	45	-1	-1	48	-1	-1	81	-1	-1	53	-1	-1	-1	-1	66	17	41	-1	-1	-1	24	-1	-1	-1	-1	36	86	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	30	50	-1	74	-1	-1	65	-1	-1	-1	-1
