8
1
-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	46	5	-1	-1	-1	-1	-1	-1	-1	-1	32	11	-1	-1	25	-1	-1	-1	-1	-1	22	-1	44	-1	-1	-1	-1	-1	45	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	54	-1	-1
-1	-1	-1	-1	27	-1	-1	-1	-1	26	-1	-1	6	60	-1	-1	56	-1	-1	-1	-1	14	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	10	-1	-1	-1	31	-1	-1	-1	22	-1	-1	-1	25	-1	-1	3	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	46	9	-1
-1	-1	-1	-1	-1	-1	-1	44	-1	-1	49	-1	-1	57	-1	-1	15	-1	-1	-1	-1	9	-1	-1	-1	55	-1	-1	-1	-1	35	-1	11	-1	-1	41	63	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	23	45	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	61	-1	-1	37	35	-1	11	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	3	52	-1	-1	-1	-1	-1	-1	-1	-1	59	-1	-1	31	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	45	-1	51	-1	-1	-1
-1	55	-1	-1	-1	-1	-1	-1	30	-1	-1	31	-1	-1	38	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	28	-1	-1	-1	49	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	1	-1	-1	-1	-1	-1
8	57	-1	22	-1	-1	31	-1	55	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	34	39	-1	-1	-1	27	-1	-1	-1	25	48	-1	-1	-1	-1	5	-1	-1	-1	40	30	-1	-1	-1	2	-1	-1	-1	-1	28	-1	-1	-1	64	-1	-1	53
-1	-1	42	-1	15	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	44	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	40	-1	-1	-1	-1	-1	7	34
-1	-1	46	-1	-1	-1	41	62	-1	-1	-1	-1	-1	-1	53	54	-1	-1	-1	-1	59	-1	18	-1	-1	40	5	-1	64	-1	-1	-1	8	-1	-1	-1	-1	-1	19	-1	55	-1	51	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	47	50	-1	-1	10	32
-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	55	-1	-1	-1	-1	8	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	13	-1	48	12	-1	-1	-1	-1	-1	26	33	-1	-1	-1	-1	41	-1	54	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	64
-1	-1	-1	-1	-1	10	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	29	40	-1	48	-1	-1	-1	-1	39	50	-1	-1	-1	58	21	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	5	-1	26	-1	-1	-1	27	-1
