10
1
-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	78	-1	58	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	35	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	40	-1	-1	28	-1	-1	-1	98	-1	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	21	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	15	-1	-1	-1	-1	50	-1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	77	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	54	-1	-1	53	-1	71	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	28	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	74	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	33	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	21	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	100	98	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	29	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1
56	-1	-1	-1	31	84	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	-1	-1	93	-1	-1	-1	-1	51	-1	-1	-1	-1	13	16	-1	-1	-1	7	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	43	-1	-1	-1	61	-1	-1	-1	-1	85	-1	35	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1
-1	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	87	-1	-1	-1	-1	-1	92	-1	-1	-1	-1	76	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	83	-1	-1	72	-1	-1	-1	-1	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	35	-1	-1	60	-1	-1	-1	-1	-1	-1	28	-1	-1	52	95	-1	-1	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	89	-1	-1	-1
88	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	84	-1	-1	-1	-1	-1	-1	83	-1	38	-1	11	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	94	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	93	-1	-1	-1	-1	-1	-1	54	-1	95	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	17	-1	-1	-1	92	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	3	-1	-1	-1	10	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	90	61	-1	-1	-1	92	-1	19	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	21	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	40
-1	-1	-1	-1	-1	57	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	83	1	-1	98	-1	97	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
