10
1
38	86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	12	-1	-1	-1	-1	-1	15	85	-1	-1	-1	-1	-1	93	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	32	-1	14	16	99	-1	-1	31	13	71	-1	-1	-1	-1	-1	-1	-1	28	-1	8	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	81
-1	-1	-1	-1	99	-1	-1	-1	92	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	24	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	18	-1	-1	53	-1	-1	35	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1
-1	-1	20	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	-1	-1	-1	-1	41	-1	-1	99	-1	9	-1	-1	19	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	-1	-1	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	91	-1	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	89	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	-1	-1	19	52	-1	8	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	39	73	-1	74	90	-1	38	18	47	-1	72	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	14	-1	-1	29	-1	-1	-1	17	-1	-1	20	-1	-1	-1	86	-1	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	23	78	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	74	-1	81	-1	-1	-1	-1	64	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	89	69	-1	-1	-1	20	85	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	78	-1	-1	-1	-1	82	-1	-1	-1	-1	24	-1	-1	19	-1	-1	-1	-1	-1	84	13	-1	-1	67	-1	25	-1	-1	-1	-1
-1	-1	28	-1	-1	56	-1	-1	36	46	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	10	-1	-1	29	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	94	-1	85	-1	-1	-1	59	87	-1	-1	-1	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	12	65	-1	24	-1	-1	-1	-1	-1	-1	-1	80	90	-1	-1	-1	-1	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	71	-1	-1	-1	26	-1	-1	-1	33	-1	-1	95	-1	-1	-1	-1	-1	-1	29	70	-1	-1	-1	56	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	94	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	92	-1	77	22	-1	19	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	-1	44	81	-1	-1	-1	-1	-1	-1	47	88	-1	-1	-1	26	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1
