10
1
-1	-1	-1	-1	65	-1	-1	-1	33	-1	68	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87	-1	-1	88	-1	-1	93	-1	-1	-1	-1	-1	-1	76	-1	-1	10	26	-1	-1	85	-1	20	56	5	-1	-1	-1	13	-1	38	-1	-1	-1	-1	-1	27	-1	96	-1	-1	-1	64	-1	-1	-1	-1	-1	91	-1	-1	47	-1	-1	-1	61	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1
99	57	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	79	-1	-1	-1	13	-1	-1	63	-1	-1	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	67	66	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	75	-1	-1	-1	-1	-1	92	8	-1	-1	-1	-1	90	-1	68	81	85	-1	-1	34	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	82	7
-1	52	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	8	-1	-1	-1	-1	79	89	-1	-1	-1	-1	86	78	-1	-1	20	57	64	60	33	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	85	-1	-1	-1	76	-1	-1	-1	61	42	-1	-1
-1	-1	-1	-1	6	-1	-1	15	43	2	49	85	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	83	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	90	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	98	-1	-1	-1	-1	67	-1	-1	-1	65	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	79	-1	20	81	18	-1	-1	37	89	-1	68	26	1
-1	93	-1	38	-1	-1	8	-1	-1	-1	99	-1	-1	-1	34	-1	-1	91	61	-1	-1	11	-1	-1	-1	-1	-1	64	-1	80	-1	-1	-1	90	-1	19	-1	83	-1	44	-1	-1	-1	-1	-1	-1	-1	49	-1	51	-1	-1	-1	31	-1	81	-1	-1	-1	32	9	-1	-1	-1	35	-1	-1	-1	-1	66	95	20	88	-1	26	-1	-1	5	63	-1	24	-1	-1	30	18	-1	33	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1
-1	64	-1	-1	-1	-1	42	-1	-1	18	51	65	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	29	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	25	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	13	62	-1	-1	-1	27	-1	-1	58	-1	-1	-1	-1	32	98	84	-1	79	-1	96	-1	-1	-1
-1	-1	-1	-1	-1	28	31	-1	20	21	-1	-1	63	-1	-1	-1	-1	-1	39	88	-1	-1	-1	93	-1	-1	-1	-1	-1	90	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	86	99	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	29	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	32	-1	10	-1	96	-1	98	1	-1	62	-1	-1	-1	47	-1	-1	94	-1	-1
-1	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	62	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	6	-1	10	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	42	59	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	-1	-1	-1	-1	44	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	72	95	-1	-1	-1	7	-1	13	-1	-1	-1	58	-1	16	-1	-1	-1	100	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	11	-1	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	41	-1	73	28	33	37	-1	65	-1	-1	44	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	25	-1	90	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	77	-1	50	-1	-1	-1	-1	-1	-1
-1	-1	49	69	-1	-1	94	-1	-1	30	-1	-1	54	-1	-1	-1	-1	98	-1	60	77	70	-1	-1	65	-1	-1	71	-1	-1	-1	-1	52	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	55	-1	-1	-1	-1	64	-1	-1	93	32	-1	-1	79	-1	-1	-1	22	-1	4	-1	80	-1	-1	48	-1	-1	-1	-1	28	-1	90	-1	-1
