11
1
33	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	41	-1	-1	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	79	-1	-1	-1	110	-1	-1	-1	28	-1	101	-1	-1	-1	-1	91	59	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	53	15	-1	-1	-1	50	-1	-1	8	56	-1	-1	-1	-1	83	103	-1	-1	-1	-1	73
-1	-1	-1	-1	-1	-1	-1	-1	65	-1	46	-1	112	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	74	-1	-1	78	-1	-1	-1	-1	12	-1	-1	-1	9	-1	-1	-1	-1	-1	26	-1	121	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	103	-1	-1	-1	-1	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	80	-1	-1	-1	77	60	-1	-1	-1	97	-1	68	-1	90	17	-1	-1	-1	-1	102	109	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	7	6	-1	34	-1
72	62	-1	39	-1	-1	-1	-1	70	117	-1	-1	-1	-1	-1	107	-1	115	-1	-1	28	46	-1	95	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	22	-1	-1	-1	-1	-1	44	-1	53	-1	64	-1	-1	-1	17	-1	-1	-1	-1	98	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	116	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1
31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	120	-1	-1	38	-1	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	19	-1	-1	-1	-1	-1	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	75	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	118	-1	-1	45	-1	-1	-1	26	-1	-1	77	-1	-1	-1	-1	-1	-1	22	-1
-1	-1	-1	-1	-1	-1	-1	111	8	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	22	-1	-1	105	-1	24	-1	60	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	41	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	88	-1	-1	-1	-1	-1	-1
-1	81	-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	5	-1	-1	-1	-1	58	-1	39	-1	-1	-1	-1	8	-1	-1	-1	77	-1	-1	-1	-1	33	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	38	-1	-1	-1	-1	-1	-1	115	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	109	-1	-1	-1	16	-1	-1	-1	43	114	4	12	-1	36	-1	-1	-1	-1	-1	-1	87	-1	-1	-1	61	-1	40	50	-1	1	-1
-1	1	-1	-1	-1	108	-1	-1	-1	-1	-1	117	40	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	110	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	25	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	-1	95	-1	-1	-1	84	65	21	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32
-1	-1	-1	-1	-1	67	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	22	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	82	-1	-1	-1	-1	-1	-1	-1	-1	103	-1	-1	-1	117	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	78	39	-1	-1	-1
-1	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	62	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	41	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	23	76	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	61	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	102	-1	-1	23	-1	21	-1	-1	-1	73	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	-1	-1	-1	-1	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	51	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	110	90	42	-1	52
