11
1
-1	-1	-1	50	-1	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	23	43	-1	21	51	55	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	93	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	115	-1
42	103	-1	96	-1	-1	53	-1	-1	-1	62	38	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	49	-1	-1	91	-1	-1	-1	111	-1	-1	-1	50	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	37	-1	-1	-1	30	-1	-1	-1	-1	95	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	22	-1	99	-1	-1	94	-1
-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	-1	-1	109	-1	11	24	-1	-1	-1	-1	112	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	-1	-1	93
-1	-1	115	-1	-1	16	85	-1	-1	-1	84	64	-1	-1	86	-1	34	-1	83	-1	-1	-1	-1	-1	-1	-1	20	77	47	-1	-1	-1	-1	-1	-1	-1	-1	89	-1	-1	-1	46	109	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	-1	15	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	-1	-1	-1	-1	14	-1	-1	59	-1	-1	26	-1	19	-1	-1	-1	-1	18	-1	-1
-1	-1	-1	-1	-1	-1	34	-1	-1	21	-1	-1	10	12	30	-1	-1	-1	11	-1	-1	-1	-1	42	115	-1	60	-1	-1	-1	-1	-1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	93	-1	-1	-1	-1	108	120	-1	-1	-1	-1	18	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	25	-1	-1	-1	-1	73	-1	36	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	86	10	4	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	116	-1	61	-1	-1	-1	-1	-1	-1	14	-1	-1	117	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	29	-1	-1	-1	54	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	-1	-1
-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	95	-1	-1	-1	-1	-1	66	-1	73	53	31	-1	-1	75	-1	-1	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	56	-1	-1	-1	-1	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	-1	114	-1	-1	-1	43	4	-1	-1	104	-1	-1	-1	78	67	32	-1	-1	34	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	111	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	89	-1	-1	-1	-1	88	8	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	110	35	-1	-1	-1	95	-1	-1	53	-1	-1	-1	120	-1	96	-1	-1	-1	-1	-1	-1	98	10	-1	50	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1	57	-1	13	25	-1	-1	-1	-1	52	30	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	-1	-1	-1	-1	68	-1	-1	2	-1	-1	119
-1	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	100	-1	-1	-1	97	2	-1	-1	-1	-1	-1	-1	-1	-1	111	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	104	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	82	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	115	-1	-1	-1	-1	56	-1	-1	-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1
