11
1
52	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	77	54	-1	-1	-1	96	-1	28	-1	95	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	37	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	6	-1	94	-1	116	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	20	-1	-1	47	-1	-1	-1	-1	-1	-1	12	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	99	-1	-1	-1	35	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	60	-1	-1	63	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	83	76	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	6	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	28	-1	-1	-1	-1	-1	-1	-1	74	38	-1	-1	-1	-1	-1
-1	37	-1	-1	-1	-1	-1	73	-1	-1	105	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	62	-1	-1	81	-1	-1	-1	-1	-1	-1	117	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	52	-1	-1	118	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	107	-1	-1	19	-1	88	-1	-1	-1	-1	-1	-1	30	89	60	-1	-1	-1	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1
-1	4	-1	-1	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	82	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	54	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	55	67	-1	-1	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	56	-1	76	-1	-1	-1	-1	-1	79	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	46	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	107	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	72	-1	-1	-1	116	17	-1	-1	78	-1	109	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	110	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	-1	89	-1	-1	31	-1	-1	-1	-1	86	-1	39	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	118	-1	-1	10	12	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	-1	-1	-1	106	-1	-1	-1	-1	-1	-1	-1	65	8	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	36	6	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	-1	-1	58	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	52	-1	3	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	4	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	81	-1	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	-1	-1	-1	-1	80	-1	-1	74	118	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	71	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	103	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	89	24	-1	-1	34	-1
-1	-1	-1	-1	97	-1	-1	-1	91	25	-1	-1	-1	-1	87	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	22	-1	-1	-1	121	-1	-1	-1	62	-1	-1	-1	54	-1	-1	1	-1	30	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1
-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	25	-1	48	-1	94	90	-1	-1	-1	-1	-1	-1	120	84	-1	-1	77	-1	112	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	46	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	-1	-1	-1	-1	62	-1	-1	-1	70	-1	-1	75	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1
