11
1
-1	-1	56	-1	-1	-1	-1	-1	-1	-1	64	-1	119	15	-1	-1	107	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	57	-1	63	-1	28	-1	105	113	101	69	-1	-1	-1	-1	-1	-1	96	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	116	-1	-1	-1	42	-1	72	-1	-1	-1	81	-1	-1	76	-1	-1	20	-1	-1	-1	-1	-1	47	26	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	110	97	37	83	-1	-1
-1	-1	-1	66	-1	-1	-1	-1	44	-1	-1	31	-1	-1	-1	-1	94	-1	-1	-1	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	24	-1	-1	-1	-1	-1	-1	69	-1	-1	14	-1	-1	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	-1	113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	58	-1	-1	-1	-1	80	-1	7	72	-1	-1	89	51
-1	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	-1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	28	-1	-1	-1	-1	76	93	92	-1	11	-1	98	-1	105	68	116	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	-1	99	-1	-1	2	-1	-1	113	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	81	-1	-1	105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	115	-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	94	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	14	-1	-1	42	-1	-1	-1	-1	-1	-1	116	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	-1	-1	37	-1	98	-1	-1	-1	-1	-1	-1	50	-1	80	-1	-1	66	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	25	-1	-1	-1	107	62	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	114	-1	-1	-1	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77	8	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	67	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	120	-1	-1	-1	72	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	24	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	93	-1	-1	-1	109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	57	-1	-1	-1	-1	-1	114	-1	-1	121	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	20	41	-1	-1	-1	31	-1	-1	-1	112	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	79	1	-1	-1	-1	120	-1	39	-1	46	-1	118	-1	-1	-1	-1	116
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	36	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	73	82	-1	-1	8	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	4	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	-1	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	21	-1	-1
