7
1
-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	44	-1	49	-1	-1	-1	-1	-1	-1	-1	40	1	-1	45	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	25	17	-1	-1	-1	-1	-1	-1	-1	28
-1	-1	-1	-1	-1	-1	-1	34	41	5	-1	-1	3	-1	-1	-1	-1	38	-1	-1	-1	46	20	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	18	-1	30	-1	-1	14	-1	-1	8	39
14	-1	-1	-1	-1	-1	-1	-1	-1	6	46	42	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	29	15	-1	-1	-1	-1	-1	-1	-1	7	31	-1	-1	20	23
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	33	-1	-1	4	-1	6	-1	-1	14	28	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	13
-1	-1	-1	13	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	19	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	37
-1	-1	-1	45	47	-1	-1	-1	-1	18	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	10	21	-1	-1	-1	-1	6	-1	-1	-1	37	31	26	48	-1	-1	-1	-1	-1	-1	4	-1	11	-1
-1	-1	24	-1	-1	-1	35	-1	23	-1	-1	-1	-1	-1	47	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	1	-1	-1	20	13	-1	-1	-1	-1	-1	-1	-1	46
-1	10	-1	-1	-1	-1	-1	-1	-1	41	-1	23	35	8	-1	-1	-1	-1	27	-1	-1	31	39	-1	-1	-1	1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1
-1	-1	-1	-1	7	47	-1	31	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	23	-1	-1	27	-1	-1	-1	-1	-1	39	-1	-1
24	14	31	-1	-1	-1	-1	-1	-1	-1	7	-1	4	-1	48	-1	-1	-1	-1	41	-1	-1	27	-1	-1	-1	-1	-1	-1	46	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	43	-1
-1	-1	43	-1	-1	12	5	30	-1	-1	-1	-1	20	-1	-1	-1	-1	45	-1	-1	-1	21	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	24	-1	37	-1	-1	-1	-1	-1	-1
-1	-1	4	-1	-1	44	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	16	-1
-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	15
-1	-1	-1	11	-1	-1	-1	-1	37	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	15	9	24	-1	18	38	-1	-1	-1	-1	-1	-1	33	14	36	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1
-1	23	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	24	-1	7	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	36	-1
-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	35	-1	12	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	2	-1
-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
35	-1	48	-1	49	-1	-1	26	45	-1	-1	-1	-1	-1	16	-1	21	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
