9
1
-1	-1	-1	17	-1	-1	-1	-1	-1	67	-1	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	16	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	9	-1	-1	-1	-1	27	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	78	50	-1	75	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	-1
-1	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	10	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	42	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	14	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	64	-1	33	-1	40	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	56	-1	40	-1	39	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	78	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	35	-1	-1	-1	48	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	48	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	32	-1	43	-1	-1	-1	7	-1	-1	-1	-1	25	-1	-1	20	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	14	15	-1	33	56
-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	29	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	28	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1
-1	-1	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	36	38	-1	-1	46	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	64	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	45
-1	-1	-1	-1	73	-1	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	61	-1	-1	-1	67	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	23	-1	62	-1	-1	-1	-1	-1	-1	-1	-1
60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	71	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1
