9
1
-1	60	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	-1	65	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	71	-1	17	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	77	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	37	-1	-1	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	81	-1	-1	-1	-1	18	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	60	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	-1
-1	-1	-1	-1	80	-1	-1	68	7	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	19	-1	-1	-1	-1	37	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	10	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	76	28	45	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	23	66	56
-1	-1	48	-1	-1	57	8	-1	-1	54	-1	-1	-1	-1	-1	-1	44	-1	24	64	52	-1	-1	-1	-1	75	-1	-1	74	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	68	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	60	-1	-1
58	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	62	30	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	80	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	74	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	43	-1	-1
-1	-1	71	-1	-1	-1	-1	-1	-1	45	-1	-1	8	-1	-1	-1	-1	-1	-1	56	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	69	-1	5	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	51	-1	-1	-1	38	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	-1	48	34	-1	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	56	-1	-1	47	-1	-1	-1	-1	26	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	78	-1	-1	42	-1	-1	-1	-1	-1	50
59	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	58	-1	-1	45	-1	-1	-1	18
