8
1
-1	-1	-1	-1	11	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	13	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	38	-1	-1	-1	-1	-1	27	44	41	-1	22	-1	-1	-1	-1	-1	-1	-1	25	-1
-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	63	-1	56	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	53	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	41	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	15	-1	8	-1	-1	-1	12	-1	-1	-1	-1	3	-1	-1	-1	-1	44	-1	-1	-1	-1
-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	53	-1	-1	21	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	37	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	30	57	-1	-1	31	-1	-1	-1	-1
-1	63	-1	37	-1	32	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	57	34	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	30	-1	-1	-1
-1	-1	-1	44	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	9	-1	-1	36	35	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	52	49	-1	29	-1	22	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1
-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	36	30	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	18	-1
